Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,exchange,Symbol
2025-06-16 00:00:00-04:00,249.90568128719272,250.5631065437429,243.0125577888725,243.3412628173828,1167500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-06-23 00:00:00-04:00,243.30143336597104,248.19236859145056,241.2693625754979,246.0009155273437,1328400,0.962,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-06-30 00:00:00-04:00,247.1600036621093,253.27999877929688,246.92999267578125,249.97000122070312,959100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-07-07 00:00:00-04:00,249.33999633789065,253.6999969482422,246.1600036621093,249.1199951171875,1419000,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-07-14 00:00:00-04:00,248.22999572753903,250.27999877929688,243.1000061035156,243.3300018310547,1395100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-07-21 00:00:00-04:00,243.6100006103516,252.3800048828125,241.9100036621093,251.509994506836,1390900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-07-28 00:00:00-04:00,251.2100067138672,251.4600067138672,240.1999969482422,242.4100036621093,1639900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-08-04 00:00:00-04:00,242.88999938964844,246.009994506836,237.22999572753903,241.1600036621093,1795200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-08-11 00:00:00-04:00,241.27999877929688,253.2100067138672,241.1199951171875,252.5399932861328,2115100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-08-18 00:00:00-04:00,252.0,257.7300109863281,251.77999877929688,256.4599914550781,1064600,0.0,0.0,0.0,159704,223090,289.14,234.11,248.2378,256.0517,13851328512,PCX,VHT
2025-08-25 00:00:00-04:00,253.24000549316406,255.57000732421875,252.4499969482422,255.0800018310547,658300,0.0,0.0,0.0,194347,215980,288.68,234.11,249.0134,255.73634,13955588096,PCX,VHT
2025-09-01 00:00:00-04:00,254.19000244140625,257.6000061035156,253.44000244140625,257.0,898700,0.0,0.0,0.0,194347,215980,288.68,234.11,249.0134,255.73634,13955588096,PCX,VHT
