Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,exchange,Symbol
2024-02-08 00:00:00-05:00,60.88100038357148,61.19196448682516,60.67692717888634,60.871280670166016,46500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-09 00:00:00-05:00,60.86157328208051,60.86157328208051,60.40484306894543,60.50201797485352,21200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-12 00:00:00-05:00,60.51173557381613,61.26971019295438,60.51173557381613,61.22112274169922,30600,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-13 00:00:00-05:00,60.842134047394566,60.9101572190006,60.29794496756147,60.54088592529297,70400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-14 00:00:00-05:00,60.676933074579686,60.676933074579686,60.11331197278718,60.638065338134766,18200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-15 00:00:00-05:00,60.79354568860872,61.51264883683454,60.79354568860872,61.41547393798828,30300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-16 00:00:00-05:00,61.27942829345652,61.66813160024528,61.11422651515807,61.51264953613281,14200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-20 00:00:00-05:00,61.62925986287655,62.26090783049307,61.62925986287655,61.96937942504883,32800,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-21 00:00:00-05:00,62.06655134345623,62.251185126406426,61.88191756050602,62.076271057128906,17300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-22 00:00:00-05:00,61.98881797913916,62.40667673859918,61.67785383819007,62.338653564453125,37300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-23 00:00:00-05:00,62.3192122251554,62.73707097180773,62.30949992483932,62.60102462768555,17000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-26 00:00:00-05:00,63.07719629101712,63.07719629101712,62.82453560918347,62.87311935424805,22800,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-27 00:00:00-05:00,63.028598080483256,63.05774980705456,62.7856571404302,62.93142318725586,19300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-28 00:00:00-05:00,62.93143022788348,62.98973368754895,62.70792127588257,62.87311935424805,24400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-29 00:00:00-05:00,63.096625529249486,63.58250744233042,63.096625529249486,63.504764556884766,20200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-01 00:00:00-05:00,63.50475905811191,63.50475905811191,63.21323438388776,63.29096984863281,137300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-04 00:00:00-05:00,63.22294779248076,63.4270172922087,63.18407635244175,63.41730499267578,16500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-05 00:00:00-05:00,63.5825054439682,63.74770350987093,63.145214701527,63.25210189819336,19500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-06 00:00:00-05:00,63.47561709468062,63.7574295128852,63.46589737985422,63.55335998535156,28400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-07 00:00:00-05:00,63.7768597910965,63.95177758335578,63.68940460195181,63.84488296508789,24400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-08 00:00:00-05:00,63.77684572881591,64.09752951291138,63.747694005528736,63.99063491821289,27400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-11 00:00:00-04:00,63.97121600783297,64.53484082003577,63.97121600783297,64.20443725585938,14500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-12 00:00:00-04:00,64.35993249468095,64.5056911624002,64.2335984306964,64.4473876953125,10100,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-13 00:00:00-04:00,64.5640043471376,64.88468084153277,64.5640043471376,64.75835418701172,20100,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-14 00:00:00-04:00,64.72919191765668,64.72919191765668,64.05867247546806,64.35992431640625,34400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-15 00:00:00-04:00,64.18500211291772,64.80693035332463,64.18500211291772,64.77777862548828,23300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-18 00:00:00-04:00,64.66116620245703,65.25394273246664,64.66116620245703,65.04015350341797,51000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-19 00:00:00-04:00,65.29281709464213,65.47744718928205,65.1956347760243,65.4385757446289,33000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-20 00:00:00-04:00,65.56490474194321,65.74954223632812,65.40941897530972,65.74954223632812,43500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-21 00:00:00-04:00,65.92471876979822,66.17775343544749,65.63276254784351,66.06096649169922,27400,0.1,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-22 00:00:00-04:00,66.09016899241986,66.0998956690531,65.8371343260199,65.98311614990234,21200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-25 00:00:00-04:00,66.05122654958694,66.26532476604403,65.91497885504948,66.0025634765625,41200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-26 00:00:00-04:00,66.090155523018,66.22640321755546,66.0025634765625,66.0025634765625,29600,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-27 00:00:00-04:00,66.26533494043176,66.67408551174623,66.26533494043176,66.65461730957031,34900,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-03-28 00:00:00-04:00,66.80059912611523,66.98550992206835,66.64489063342597,66.65461730957031,24000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-01 00:00:00-04:00,66.64488698211137,66.72273751171893,66.45997619628906,66.45997619628906,67000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-02 00:00:00-04:00,66.16801170983325,66.24586966336108,66.01230322772071,66.1388168334961,54900,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-03 00:00:00-04:00,65.97337835529451,65.97337835529451,65.39918519348394,65.47704315185547,29800,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-04 00:00:00-04:00,65.69114714096258,65.69114714096258,64.8833875496873,65.06829833984375,34500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-05 00:00:00-04:00,65.05856788534415,65.38946050601444,65.05856788534415,65.3407974243164,16600,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-08 00:00:00-04:00,65.22400106013752,65.53542543315885,65.22400106013752,65.32132720947266,8100,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-09 00:00:00-04:00,65.43811319468344,65.63275808770327,65.07803313624784,65.6230239868164,15300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-10 00:00:00-04:00,65.05856605970779,65.36026379287073,64.88338936543188,65.16561889648438,24700,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-11 00:00:00-04:00,65.26292740335914,65.26292740335914,64.57195483560884,64.59142303466797,28000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-12 00:00:00-04:00,64.37732926055983,64.37732926055983,63.433321905640575,63.46251678466797,24700,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-15 00:00:00-04:00,63.82260060830208,63.92965344186594,63.11215975146407,63.228946685791016,21300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-16 00:00:00-04:00,63.3165293359812,63.50144011997519,63.151086752904014,63.36519241333008,27700,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-17 00:00:00-04:00,63.72527602223394,63.72527602223394,63.15108292904623,63.287330627441406,21100,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-18 00:00:00-04:00,63.50144396196554,63.55983371836241,63.21921443114135,63.48198318481445,25200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-19 00:00:00-04:00,63.423584724739705,64.2313443216806,63.423584724739705,64.21188354492188,19600,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-22 00:00:00-04:00,64.46491144842447,64.89312279107396,64.24107910108934,64.68875122070312,20900,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-04-23 00:00:00-04:00,64.7471390086779,65.00017365118426,64.7471390086779,64.9028549194336,22900,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
