Date,Open,High,Low,Close,Volume
2024-09-10,571.25,572.28,556.08,558.65,1815952
2024-09-11,558.4,558.56,544.3,549.66,1605363
2024-09-12,548.01,555.23,542.89,554.88,1252751
2024-09-13,557.29,567.03,555.74,559.84,1177437
2024-09-16,562.78,567.82,561.67,565.46,1357934
2024-09-17,566.19,575.53,564.41,572.05,1503794
2024-09-18,570.99,574.22,565.0,565.28,1681429
2024-09-19,565.28,573.85,563.43,565.48,2349267
2024-09-20,565.48,568.05,553.91,556.27,7310717
2024-09-23,556.27,566.89,553.31,562.09,1657899
2024-09-24,563.52,564.69,556.07,557.49,1590819
2024-09-25,557.49,560.56,552.59,557.39,1842064
2024-09-26,560.35,565.56,559.94,564.95,1321396
2024-09-27,569.85,582.51,568.62,580.16,2350960
2024-09-30,581.89,590.32,575.77,587.2,2362665
2024-10-01,586.18,589.55,582.91,585.47,1795878
2024-10-02,583.32,585.67,571.68,575.05,1596296
2024-10-03,571.68,573.93,562.09,566.89,1416954
2024-10-04,566.89,574.64,566.58,572.4,997811
2024-10-07,572.4,572.4,557.81,561.88,1053694
2024-10-08,553.32,556.83,546.47,550.96,1939384
2024-10-09,552.7,561.58,551.78,554.43,1199799
2024-10-10,558.11,558.11,551.37,555.25,1148049
2024-10-11,555.55,560.25,554.43,555.86,823424
2024-10-14,555.86,561.88,554.43,559.94,1046275
2024-10-15,557.29,566.07,552.95,556.27,1586948
2024-10-16,556.27,574.64,556.27,572.71,1729142
2024-10-17,572.19,576.38,567.04,572.19,1389771
2024-10-18,572.19,576.69,568.52,571.68,1728835
2024-10-21,569.95,575.77,568.83,568.83,1339206
2024-10-22,568.83,573.32,563.72,570.36,1314179
2024-10-23,566.58,572.91,563.82,572.09,1369123
2024-10-24,572.09,573.22,567.4,572.71,1327232
2024-10-25,572.71,574.49,567.8,569.34,1277667
2024-10-28,571.58,575.87,569.23,571.79,891437
2024-10-29,571.79,573.73,568.01,569.44,1187509
2024-10-30,569.44,573.47,565.25,566.38,1631412
2024-10-31,566.99,570.56,555.86,556.07,1203172
2024-11-01,556.07,563.31,556.01,561.48,1736345
2024-11-04,561.48,570.77,561.48,568.72,1616954
2024-11-05,568.62,571.58,563.93,571.48,1377975
2024-11-06,571.48,591.18,567.8,576.99,3221043
2024-11-07,540.96,592.82,536.06,579.14,3006035
