ticker,sector,industry,next_earnings,marketCap,shortName,longName
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,2025-05-06,1348021376,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc."
AMR,Basic Materials,Coking Coal,2025-05-05,1632370688,"Alpha Metallurgical Resources, ","Alpha Metallurgical Resources, Inc."
AMSF,Financial Services,Insurance - Specialty,2025-04-22,985281536,"AMERISAFE, Inc.","AMERISAFE, Inc."
AMTM,Industrials,Specialty Business Services,2025-02-04,4457329152,"Amentum Holdings, Inc.","Amentum Holdings, Inc."
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2025-05-21,871983616,American Woodmark Corporation,American Woodmark Corporation
ANDE,Consumer Defensive,Food Distribution,2025-05-05,1446827648,"The Andersons, Inc.","The Andersons, Inc."
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,2025-05-08,1398464768,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc."
AORT,Healthcare,Medical Devices,2025-05-05,1027230208,"Artivion, Inc.","Artivion, Inc."
AOSL,Technology,Semiconductors,2025-05-05,773320384,Alpha and Omega Semiconductor L,Alpha and Omega Semiconductor Limited
APAM,Financial Services,Asset Management,2025-04-21,2824038144,Artisan Partners Asset Manageme,Artisan Partners Asset Management Inc.
APLE,Real Estate,REIT - Hotel & Motel,2025-05-01,3196134144,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc."
APOG,Industrials,Building Products & Equipment,2025-04-16,1025882368,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc."
ARCB,Industrials,Trucking,2025-04-28,1658950528,ArcBest Corporation,ArcBest Corporation
ARI,Real Estate,REIT - Mortgage,2025-04-28,1367879424,Apollo Commercial Real Estate F,"Apollo Commercial Real Estate Finance, Inc."
ARLO,Industrials,Building Products & Equipment,2025-05-07,1078672128,"Arlo Technologies, Inc.","Arlo Technologies, Inc."
