ticker,,,
^YH30910060,Oil & Gas Equipment & Services,,
^YH30910050,Oil & Gas Refining & Marketing,,
^YH30920020,Uranium,,
^YH30910010,Oil & Gas Drilling,,
^YH30920010,Thermal Coal,,
^YH10420080,REIT - Specialty,,
^YH10420030,REIT - Industrial,,
^YH10420010,REIT - Healthcare Facilities,,
^YH10420060,REIT - Retail,,
^YH10420050,REIT - Residential,,
^YH10410020,Real Estate Services,,
^YH10420070,REIT - Mortgage,,
^YH10420090,REIT - Diversified,,
^YH10420040,REIT - Office,,
^YH10420020,REIT - Hotel & Motel,,
^YH10410010,Real Estate - Development,,
^YH10410030,Real Estate - Diversified,,
^YH10130020,Specialty Chemicals,,
^YH10150040,Gold,,
^YH10150020,Copper,,
^YH10120010,Building Materials,,
^YH10160020,Steel,,
^YH10110010,Agricultural Inputs,,
^YH10150030,Other Industrial Metals & Mining,,
^YH10130010,Chemicals,,
^YH10150060,Other Precious Metals & Mining,,
^YH10150010,Aluminum,,
^YH10140010,Lumber & Wood Production,,
^YH10150050,Silver,,
^YH10160010,Coking Coal,,
^YH10140020,Paper & Paper Products,,
^YH30830010,Internet Content & Information,,
^YH30810010,Telecom Services,,
^YH30820040,Entertainment,,
^YH30820010,Advertising Agencies,,
^YH30830020,Electronic Gaming & Multimedia,,
^YH30820020,Publishing,,
^YH30820030,Broadcasting,,
^YH20720020,Utilities - Regulated Electric,,
^YH20710010,Utilities - Independent Power Producers,,
^YH20720040,Utilities - Diversified,,
^YH20720030,Utilities - Regulated Gas,,
^YH20710020,Utilities - Renewable,,
^YH20720010,Utilities - Regulated Water,,
^IBD50,IBD 50,,
SPSM,Small cap 600,,
PSCT,Small Cap Technology,,
PSCD,Small Cap Discretionary,,
PSCF,Small Cap Finance,,
PSCH,Small Cap Heathcare,,
PSCC,Small Cap Staples,,
PSCI,Small Cap Industrials,,
PSCU,Small Cap Utility,,
PSCE,Small Cap Energy,,
PSCM,Small Cap Materials,,
